28947562,1.8
289475,1.62
2894,1.458
28,1.219469
26954783,1.8
269547,1.62
2695,1.458
26,1.246717
27849615,1.8
278496,1.62
2784,1.458
27,0.7356716
295613,1.8
2956,1.62
29,1.591873
26798453,1.8
267984,1.62
2679,1.458
2123589674,0.9
21235896,0.8099999
212358,0.7289999
2123,0.6560999
21,-0.5890406
291857,1.8
2918,1.62
2378512964,0.9
23785129,0.8099999
237851,0.7289999
2378,0.6560999
23,-0.531069
24965178,-0.9
249651,-0.8099999
2496,-0.7289999
24,1.581123
27941563,1.8
279415,1.62
2794,1.458
23986215,1.8
239862,1.62
2398,1.458
23754192,1.8
237541,1.62
2375,1.458
27498315,1.8
274983,1.62
2749,1.458
2548637192,1.8
25486371,1.62
254863,1.458
2548,1.3122
25,1.25388
2891362457,1.8
28913624,1.62
289136,1.458
2891,0.7348319
273498,-0.9
2734,1.377
29716243,1.8
297162,1.62
2971,1.6038
24765182,-0.9
247651,-0.8099999
2476,-0.7289999
26548279,-0.9
265482,-0.8099999
2654,-0.7289999
25467129,1.8
254671,1.62
2546,1.458
27345819,1.8
273458,1.62
28953642,1.8
289536,1.62
2895,1.458
24569172,-0.9
245691,-0.891
2456,-0.8164799
24593768,1.8
245937,1.62
2459,1.458
243516,1.8
2435,1.62
251723,1.8
2517,1.62
2876912345,0.99
28769123,0.972
287691,0.9477
2876,0.9185399
281653,-0.9
2816,-0.8099999
281937,1.8
2819,-0.6479999
2891732456,0.9
28917324,0.8099999
289173,0.7289999
29673418,1.8
296734,1.62
2967,1.458
23549167,1.8
235491,1.62
2354,1.6038
2937841256,0.9
29378412,0.8099999
293784,0.7289999
2937,0.6560999
2789431256,1.8
27894312,1.62
278943,1.458
2789,0.78732
2357469128,0.9
23574691,0.8099999
235746,0.7289999
2357,-0.74439
28356971,1.8
283569,1.62
2835,1.458
2795168234,1.8
27951682,1.62
279516,1.458
2795,1.3122
234916,1.8
2349,1.62
256731,-0.9
2567,-0.8099999
21453268,1.8
214532,1.62
2145,1.458
23546172,1.8
235461,1.62
29538216,1.8
295382,1.62
2953,1.458
24569178,-0.9
21572894,1.8
215728,1.62
2157,1.458
2789521436,0.9
27895214,0.8099999
278952,0.7289999
2693475128,0.9
26934751,0.8099999
269347,0.7289999
2693,0.6560999
29867143,1.8
298671,1.62
2986,1.7658
285431,-0.9
2854,-0.8099999
257189,1.8
2571,1.62
23469578,-0.9
234695,-0.8099999
2346,-0.7289999
28791634,-0.9
287916,-0.8099999
2879,-0.7289999
237649,1.8
2376,1.62
23915724,1.8
239157,1.62
2391,1.458
216538,-0.9
2165,-0.8099999
237481,-0.9
2374,-0.8099999
25861793,1.8
258617,1.62
2586,1.458
23675984,-0.9
236759,-0.8099999
2367,1.3851
29715362,1.8
297153,1.62
281972,-0.9
25912436,1.8
259124,1.62
2591,1.458
268425,1.8
2684,1.62
2687354912,0.9
26873549,0.8099999
268735,0.7289999
2687,0.6560999
28125476,-0.9
281254,-0.8099999
2812,-0.7289999
218352,1.8
2183,1.62
2917853264,0.9
29178532,0.8099999
291785,0.7289999
2917,0.6560999
24912567,1.8
249125,1.62
2491,1.458
29682571,1.8
296825,1.62
2968,1.6038
29384571,1.8
293845,1.62
2938,1.458
215678,-0.9
2156,-0.8099999
29186527,1.8
291865,1.62
245172,-0.9
2451,-0.8099999
2912743568,1.8
29127435,1.62
291274,1.458
2912,1.3122
231579,-0.9
2315,-0.8099999
267391,-0.9
2673,-0.8099999
298623,1.8
24187935,-0.9
241879,-0.8099999
2418,-0.7289999
24568719,-0.9
245687,-0.8099999
245871,-0.9
2458,-0.8099999
26753189,1.8
267531,1.62
2675,1.458
25981723,1.8
259817,1.62
2598,1.458
283491,-0.9
2834,-0.8099999
29768123,1.8
297681,1.62
2976,1.458
27456892,1.8
274568,1.62
2745,1.458
2891237456,0.9
28912374,0.8099999
289123,0.7289999
24856197,1.8
248561,1.62
2485,1.458
2368912745,1.8
23689127,1.62
236891,1.458
2368,1.3122
29687512,1.8
296875,1.62
23164795,1.8
231647,1.62
2316,1.458
23675291,1.8
236752,1.62
285367,-0.9
2853,1.2312
245761,1.8
2457,1.62
2851463729,1.8
28514637,1.62
285146,1.458
2851,1.3122
25691738,1.8
256917,1.62
2569,1.458
235794,-0.9
27698531,1.8
276985,1.62
2769,1.458
2853246791,1.8
28532467,1.62
285324,1.458
25346981,1.8
253469,1.62
2534,1.458
253798,-0.9
2537,-0.8099999
2764198253,0.9
27641982,0.8099999
276419,0.7289999
2764,0.6560999
25682971,1.8
256829,1.62
2568,1.458
